,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,trackName,artistName,explicit,popularity
302,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,0F7FA14euOIX8KcbEturGH,113000,4,Old Town Road,Lil Nas X,False,78
303,0.363,0.146,0,-19.861,1,0.0679,0.976,0.888,0.108,0.271,166.964,6itnhgWDgGf2GRXVkVIMq4,165111,3,Up - Theme from the Motion Picture,Giampaolo Pasquile,False,44
304,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
305,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
306,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
307,0.722,0.685,4,-7.191,0,0.0416,0.138,0.0,0.344,0.705,110.034,0UuJO2FQVjgS9IbpBF0ges,176744,4,Stan - Lofi,Bearded Lofi Music,False,42
308,0.617,0.306,11,-11.266,0,0.048,0.709,0.0405,0.35,0.368,144.322,1BgXz5oliOhaPZ6HMRiNzm,146463,4,wait4me,Dev Raiyani,True,32
309,0.733,0.912,1,-3.734,0,0.103,0.163,0.0,0.165,0.661,99.986,5mFfsK5lfufKSZBaEpCJFp,231259,4,Jackets,Goa Trap Culture,True,29
310,0.362,0.378,1,-11.008,1,0.0329,0.679,0.0,0.091,0.575,87.549,7F8RNvTQlvbeBLeenycvN6,470500,4,Kun Faya Kun,A.R. Rahman,False,70
311,0.923,0.653,1,-4.907,1,0.152,0.0842,0.0,0.087,0.743,106.792,5nKAlxyjs5kDx3lb981SPE,130247,4,Sadma Ashiq,Jed,True,55
312,0.676,0.552,0,-12.075,0,0.0448,0.692,2.5e-06,0.539,0.603,104.398,45y8Sl1EgaEB28fXULangx,261931,4,Bc Sutta,Zeest,True,32
313,0.676,0.552,0,-12.075,0,0.0448,0.692,2.5e-06,0.539,0.603,104.398,45y8Sl1EgaEB28fXULangx,261931,4,Sutta,Aadar Malik,True,32
314,0.732,0.566,6,-7.114,1,0.249,0.857,0.00175,0.133,0.637,100.055,07NOpLvm8mCku71fzDzntQ,178329,4,Gumshudaa king,The roar,False,52
